19,include,"""pngpriv.h""",
2064,ifdef,PNG_READ_EXPAND_16_SUPPORTED,
2071,endif,,
2073,ifdef,PNG_READ_PACK_SUPPORTED,
2077,endif,,
2088,ifdef,PNG_READ_STRIP_ALPHA_SUPPORTED,
2095,endif,,
2100,ifdef,PNG_READ_FILLER_SUPPORTED,
2111,endif,,
2113,if,defined(PNG_USER_TRANSFORM_PTR_SUPPORTED) && defined(PNG_READ_USER_TRANSFORM_SUPPORTED),
2123,endif,,
2138,ifndef,PNG_READ_EXPAND_SUPPORTED,
2141,endif,,
2144,ifdef,PNG_READ_PACK_SUPPORTED,
2241,endif,,
2243,ifdef,PNG_READ_SHIFT_SUPPORTED,
2360,ifdef,PNG_READ_16BIT_SUPPORTED,
2380,endif,,
2384,endif,,
2386,ifdef,PNG_READ_SCALE_16_TO_8_SUPPORTED,
2443,endif,,
2445,ifdef,PNG_READ_STRIP_16_TO_8_SUPPORTED,
2471,endif,,
2473,ifdef,PNG_READ_SWAP_ALPHA_SUPPORTED,
2501,ifdef,PNG_READ_16BIT_SUPPORTED,
2524,endif,,
2545,ifdef,PNG_READ_16BIT_SUPPORTED,
2564,endif,,
2567,endif,,
2569,ifdef,PNG_READ_INVERT_ALPHA_SUPPORTED,
2601,ifdef,PNG_READ_16BIT_SUPPORTED,
2627,endif,,
2645,ifdef,PNG_READ_16BIT_SUPPORTED,
2665,endif,,
2668,endif,,
2670,ifdef,PNG_READ_FILLER_SUPPORTED,
2679,ifdef,PNG_READ_16BIT_SUPPORTED,
2681,endif,,
2723,ifdef,PNG_READ_16BIT_SUPPORTED,
2762,endif,,
2804,ifdef,PNG_READ_16BIT_SUPPORTED,
2852,endif,,
2855,endif,,
2857,ifdef,PNG_READ_GRAY_TO_RGB_SUPPORTED,
2943,endif,,
2945,ifdef,PNG_READ_RGB_TO_GRAY_SUPPORTED,
3016,ifdef,PNG_READ_GAMMA_SUPPORTED,
3061,endif,,
3093,ifdef,PNG_READ_GAMMA_SUPPORTED,
3146,endif,,
3191,endif,,
3193,if,defined(PNG_READ_BACKGROUND_SUPPORTED) || defined(PNG_READ_ALPHA_MODE_SUPPORTED),
3202,ifdef,PNG_READ_GAMMA_SUPPORTED,
3211,endif,,
3255,ifdef,PNG_READ_GAMMA_SUPPORTED,
3293,endif,,
3323,ifdef,PNG_READ_GAMMA_SUPPORTED,
3361,endif,,
3391,ifdef,PNG_READ_GAMMA_SUPPORTED,
3405,endif,,
3419,ifdef,PNG_READ_GAMMA_SUPPORTED,
3447,endif,,
3478,ifdef,PNG_READ_GAMMA_SUPPORTED,
3502,endif,,
3520,ifdef,PNG_READ_GAMMA_SUPPORTED,
3568,endif,,
3605,ifdef,PNG_READ_GAMMA_SUPPORTED,
3636,endif,,
3653,ifdef,PNG_READ_GAMMA_SUPPORTED,
3697,endif,,
3731,ifdef,PNG_READ_GAMMA_SUPPORTED,
3777,endif,,
3806,ifdef,PNG_READ_GAMMA_SUPPORTED,
3881,endif,,
3934,endif,,/* READ_BACKGROUND || READ_ALPHA_MODE */
3936,ifdef,PNG_READ_GAMMA_SUPPORTED,
4137,endif,,
4139,ifdef,PNG_READ_ALPHA_MODE_SUPPORTED,
4202,endif,,
4204,ifdef,PNG_READ_EXPAND_SUPPORTED,
4316,ifdef,PNG_ARM_NEON_INTRINSICS_AVAILABLE,
4326,else,,
4328,endif,,
4353,ifdef,PNG_ARM_NEON_INTRINSICS_AVAILABLE,
4356,else,,
4358,endif,,
4606,endif,,
4608,ifdef,PNG_READ_EXPAND_16_SUPPORTED,
4639,endif,,
4641,ifdef,PNG_READ_QUANTIZE_SUPPORTED,
4733,endif,,/* READ_QUANTIZE */
4769,ifdef,PNG_READ_EXPAND_SUPPORTED,
4774,ifdef,PNG_ARM_NEON_INTRINSICS_AVAILABLE,
4785,endif,,
4801,endif,,
4803,ifdef,PNG_READ_STRIP_ALPHA_SUPPORTED,
4810,endif,,
4812,ifdef,PNG_READ_RGB_TO_GRAY_SUPPORTED,
4831,endif,,
4864,ifdef,PNG_READ_GRAY_TO_RGB_SUPPORTED,
4871,endif,,
